,Subject,Subject Name,ID,Intensity Median,Intensity Mean,Intensity Sum,Intensity StdDev,Intensity Min,Intensity Max,Volume,Surface Area,Sphericity,Intensity/Volume,Microglia Intensity_Sum
148,106,Abi3KI/+_APPPS1,6,14116.5,20953.4,1824770000,15810.7,3863,65535,2587.31,2536.43,0.35933,5.456052812,731138000
149,106,Abi3KI/+_APPPS1,7,18225.5,24085.7,1509980000,14846.2,3117,65535,1874.68,1268.54,0.579606,9.721925875,444721000
150,106,Abi3KI/+_APPPS1,8,15326.7,20750.9,3926790000,14314.8,3173,65535,5717.16,3826.61,0.40407,2.680824046,1130670000
151,106,Abi3KI/+_APPPS1,9,14997.5,21620.1,874751000,14713.2,3235,65535,1190.85,1187.55,0.457514,12.5939455,352195000
152,106,Abi3KI/+_APPPS1,10,13857.6,19099.7,1438190000,12843.9,3332,65535,2220.27,2246.36,0.366389,6.241403073,560021000
153,106,Abi3KI/+_APPPS1,11,18082.9,23185.9,939170000,13592.5,3908,65535,1223.22,915.257,0.604334,14.78303167,233305000
154,106,Abi3KI/+_APPPS1,12,14380.6,20049.5,8033570000,14113.1,3761,65535,11975.7,8132.17,0.311275,1.200814984,2451870000
155,106,Abi3KI/+_APPPS1,13,15346.3,20492,1533780000,12969.8,4186,65535,2251.95,1506.11,0.551656,6.814671729,681779000
156,106,Abi3KI/+_APPPS1,14,16687.7,24043.3,9074450000,16508.7,3915,65535,11268.8,7303.31,0.332826,1.480876402,2590350000
157,106,Abi3KI/+_APPPS1,15,14595,19437.3,1594370000,11846.4,4300,65535,2446.59,2390.31,0.367342,5.965445784,678248000
158,107,Abi3KI/+_APPPS1,0,16097.7,21887.7,8728700000,14615.1,3260,65535,11966.8,6040.49,0.418855,1.345196711,2903300000
159,107,Abi3KI/+_APPPS1,1,11457.5,13272.1,829864000,6395.05,3970,57754,1868.36,1968.54,0.372661,6.132383481,358277000
160,107,Abi3KI/+_APPPS1,2,12758.7,16083.9,553014000,8894.67,4100,61387,1020.84,975.251,0.502735,12.49823675,283556000
161,107,Abi3KI/+_APPPS1,3,10976.4,11760.8,1943880000,3776.19,4111,44727,4884.98,5212.5,0.267104,2.246969281,870644000
162,107,Abi3KI/+_APPPS1,4,12629.7,14194.4,1343060000,5912.88,3807,60895,2835.08,2170.95,0.446214,4.454794926,468546000
163,107,Abi3KI/+_APPPS1,5,13888.8,18749.5,13796700000,12850,3036,65535,22036.9,11204.5,0.339256,0.630251986,4191880000
164,107,Abi3KI/+_APPPS1,6,11088.4,13143.8,646555000,7255.12,3676,65535,1441.79,1588.21,0.388607,7.690717788,345366000
165,107,Abi3KI/+_APPPS1,7,13771.9,18807.1,14643900000,12759.8,2687,65535,23318.9,12754,0.309488,0.590589608,4871590000
166,107,Abi3KI/+_APPPS1,8,12738.5,15354.8,935766000,7772.23,3061,54256,1830.64,1462.51,0.494826,6.95849539,537835000
167,107,Abi3KI/+_APPPS1,9,13734.5,18967.6,7604100000,13410.7,3215,65535,11994.2,8332.56,0.304102,1.145095129,2682870000
168,107,Abi3KI/+_APPPS1,10,11072.6,11702.5,561617000,3285.93,4038,31371,1418.42,1565.98,0.389854,7.806291507,223353000
169,107,Abi3KI/+_APPPS1,11,14381.9,19383,3681530000,12798.2,2911,65535,5704.71,3105.26,0.497212,2.521057162,1135830000
170,107,Abi3KI/+_APPPS1,12,11209.8,11934.2,545546000,3620.85,3108,34758,1352.82,1508.94,0.392017,8.286246507,291017000
171,107,Abi3KI/+_APPPS1,13,11702.8,14018,1005630000,7757.8,3310,64955,2139.08,2152.97,0.372904,5.470950128,631150000
172,107,Abi3KI/+_APPPS1,14,13495.6,16565.3,691104000,8466.63,3914,51353,1248.8,1073.46,0.522425,10.80685458,338922000
173,107,Abi3KI/+_APPPS1,15,14983.8,19689.4,4725610000,11881.2,3817,65535,7200.27,4211.29,0.428189,2.081005296,1540500000
174,107,Abi3KI/+_APPPS1,16,13537.5,20024.4,2383680000,14369.3,3262,65535,3551.98,2882.91,0.390511,3.811254568,971919000
